,Unnamed: 0,Gender,Age,Orphan,state,PinCode,mother_tongue,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,pwd,out_of_school_child,dropout_student,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,debt,family_annual_income,no_of_children,academic_stream,status_in_previous_year,appreared_previous_exam,results_in_previous_year_type,mental_issues,drug_addiction ,label,prediction
630,630,1,14,1,31,909027,1,2,2,0,1,1,1,0,1,0,5,1,1,1,1,2,1,1,1,4,0,0,9,1
631,631,1,18,0,4,309398,0,2,4,0,1,1,0,1,1,4,0,1,1,1,0,3,5,1,0,2,1,1,11,1
632,632,0,20,0,12,984635,1,4,5,0,0,0,1,0,0,3,5,0,0,0,2,2,2,4,0,4,1,1,3,0
633,633,0,15,0,3,764512,0,1,3,0,0,0,1,1,0,2,4,0,1,1,2,3,5,1,0,1,0,1,3,0
634,634,0,18,0,15,213782,1,4,7,1,1,1,0,1,0,1,3,1,0,0,1,2,3,2,1,2,1,1,6,0
635,635,1,16,1,27,891551,0,2,6,1,1,0,1,1,0,2,1,0,0,0,1,2,2,3,1,4,1,0,5,0
636,636,0,19,0,33,881029,1,4,7,0,0,0,0,1,0,5,2,0,1,1,0,2,4,2,0,2,1,0,5,0
637,637,1,19,0,5,582574,1,2,7,1,0,1,1,0,0,3,0,0,0,1,2,3,1,3,0,1,0,1,5,0
638,638,1,15,0,10,739427,0,1,6,0,1,1,1,1,1,4,3,1,1,1,1,3,3,4,1,2,0,1,9,1
639,639,1,18,0,33,636908,1,1,4,1,0,1,0,1,0,2,4,1,0,0,2,3,2,2,0,3,0,0,5,0
640,640,0,14,0,9,225475,1,2,4,1,1,0,0,0,1,1,1,0,1,1,0,3,1,3,0,2,1,1,9,1
641,641,0,17,0,11,834198,0,3,3,1,1,1,0,1,1,4,0,0,0,0,0,2,2,1,1,2,0,1,8,1
642,642,1,21,1,28,880884,1,1,1,1,0,1,0,1,1,3,2,1,0,1,1,3,3,5,1,3,1,1,10,1
643,643,1,19,0,28,901327,1,3,2,0,0,0,1,0,0,5,0,0,1,0,0,2,1,1,0,4,0,1,4,0
644,644,0,21,1,12,487263,1,4,3,0,1,0,0,1,0,5,2,0,1,0,0,2,4,2,1,2,1,1,6,0
645,645,1,17,0,20,384466,1,4,1,1,0,0,0,0,0,3,3,1,1,0,1,2,3,3,0,3,1,0,6,0
646,646,1,17,1,14,666448,0,3,5,1,0,0,1,1,0,3,1,1,0,0,0,2,5,1,1,1,0,0,6,0
647,647,0,20,1,20,215496,1,2,1,1,0,1,0,1,1,3,1,1,1,0,0,2,3,4,0,2,1,1,12,1
648,648,0,14,0,28,286583,1,1,2,0,0,0,0,0,0,1,2,0,1,1,0,2,4,4,1,4,0,0,5,0
649,649,0,18,0,2,459369,1,2,4,1,0,0,0,0,1,4,3,1,1,1,1,2,4,4,0,3,1,0,9,1
650,650,0,20,0,4,936117,0,3,6,1,0,1,0,0,1,1,0,0,0,1,1,2,4,4,1,2,0,1,8,1
651,651,0,16,0,32,263164,1,2,7,1,0,1,0,1,1,5,3,0,0,1,0,3,4,4,1,3,0,0,8,1
652,652,0,15,0,28,881357,0,2,2,0,1,0,1,1,0,4,5,0,0,1,2,2,1,3,0,1,1,1,4,0
653,653,1,15,0,4,552273,0,2,3,0,0,0,0,0,0,1,1,0,1,1,0,3,1,3,1,1,1,1,5,0
654,654,1,15,0,8,440859,1,2,7,0,0,0,1,1,0,2,1,0,0,0,0,2,3,2,1,1,0,0,2,0
655,655,0,16,1,17,924115,0,4,5,0,1,0,0,1,0,2,4,0,1,1,0,2,5,5,0,4,1,0,7,0
656,656,0,19,0,26,738535,1,1,4,0,1,0,1,0,0,5,2,0,0,0,2,2,3,5,0,2,1,0,4,0
657,657,0,16,0,19,434185,1,3,1,1,0,0,1,1,0,5,5,1,1,0,2,2,2,2,1,4,0,1,5,0
658,658,0,20,1,13,941829,1,2,1,0,1,1,1,0,1,3,5,0,1,1,1,2,4,3,0,2,0,0,9,1
659,659,0,20,0,30,526213,0,4,4,0,1,0,0,1,0,5,4,0,0,0,2,2,5,3,1,3,1,1,3,0
660,660,1,18,0,11,304041,0,3,6,1,0,1,0,0,1,1,4,1,1,1,2,3,3,5,1,3,0,0,8,1
661,661,1,16,0,18,214706,0,2,6,0,0,1,0,1,0,0,4,1,0,0,0,3,5,1,0,1,0,1,5,0
662,662,0,18,0,21,465819,0,4,5,0,0,0,1,0,0,2,0,1,1,0,2,2,2,2,0,1,1,0,5,0
663,663,1,15,0,15,451746,0,2,5,1,1,1,1,0,1,0,2,1,1,1,1,2,5,4,1,2,1,1,13,1
664,664,1,16,1,33,287786,1,2,6,0,1,1,0,1,0,2,5,1,0,1,2,2,4,3,1,4,0,0,6,0
665,665,0,14,0,21,748594,1,3,1,0,1,1,0,0,1,4,3,1,1,1,0,2,4,4,0,4,0,1,10,1
666,666,0,16,0,31,978253,0,2,3,1,0,0,0,0,0,4,4,0,0,0,2,3,3,2,1,2,0,1,3,0
667,667,1,18,0,31,494131,1,4,7,0,1,1,1,0,1,0,0,0,1,0,2,2,3,4,1,3,1,0,9,1
668,668,1,18,0,4,343566,1,2,7,0,0,1,0,0,1,0,3,1,1,1,1,3,3,4,1,4,0,1,8,1
669,669,0,14,0,31,392108,0,4,4,0,0,1,1,1,0,0,2,0,1,0,0,2,3,1,0,2,1,0,6,0
670,670,1,21,0,6,201173,0,4,7,0,0,1,1,0,0,1,3,1,0,0,0,2,1,3,0,2,1,0,5,0
671,671,0,19,0,27,195270,0,2,7,1,1,1,0,1,1,3,3,1,1,0,0,2,1,2,0,4,1,1,9,1
672,672,0,16,1,6,170341,1,4,3,0,0,0,0,1,0,0,1,1,0,0,2,3,2,2,1,2,0,1,4,0
673,673,0,18,0,29,294700,1,3,4,0,1,1,0,0,1,5,4,0,1,1,1,3,2,5,0,3,1,1,8,1
674,674,1,16,0,22,353173,1,3,7,0,1,1,0,1,0,1,1,0,0,0,0,2,1,1,1,4,1,1,5,0
675,675,1,16,0,29,255802,0,3,2,1,0,1,1,0,1,5,3,1,0,1,1,2,1,5,1,2,1,1,8,1
676,676,0,14,1,27,235872,0,1,5,0,1,0,0,0,0,0,1,1,1,0,2,2,4,1,1,4,0,1,7,0
677,677,0,15,1,31,620822,0,2,7,1,0,1,1,0,0,2,5,0,0,0,2,3,4,4,0,2,1,0,7,0
678,678,1,19,0,22,332125,1,4,5,0,0,0,1,0,0,1,3,1,1,0,1,3,3,1,1,3,1,1,5,0
679,679,0,18,0,24,778060,0,4,1,1,1,1,1,1,0,0,3,0,0,0,2,2,2,3,1,1,0,0,5,0
680,680,1,17,0,15,748186,1,4,6,0,0,1,0,1,0,0,0,1,0,0,2,2,4,4,0,2,0,1,6,0
681,681,1,17,0,20,111393,0,3,4,1,0,0,1,1,0,1,1,0,0,0,2,3,4,3,1,2,1,1,4,0
682,682,1,15,0,31,966594,1,3,4,0,0,0,1,1,0,2,4,1,1,1,1,3,4,1,1,2,1,1,6,0
683,683,0,14,0,13,907939,1,2,4,0,0,0,0,1,0,5,2,0,0,0,2,2,3,2,1,1,0,0,1,0
684,684,0,16,0,14,730359,0,1,1,1,1,1,1,1,1,5,5,1,1,0,1,2,1,4,0,1,1,1,10,1
685,685,1,19,0,32,770323,0,1,1,0,0,0,0,1,0,2,1,1,0,0,1,2,5,3,0,1,1,0,4,0
686,686,1,15,0,16,983546,1,2,5,1,1,1,0,1,1,2,3,0,0,1,1,3,4,2,1,3,0,0,8,1
687,687,1,19,1,23,498311,0,4,1,0,1,1,1,0,0,0,4,1,1,0,1,2,2,1,0,1,0,0,7,0
688,688,0,20,1,27,534147,1,4,2,0,1,1,1,0,1,3,1,1,1,0,0,2,4,4,1,2,1,1,10,1
689,689,1,19,0,7,198465,0,4,3,0,1,0,0,1,0,2,3,0,1,0,0,3,1,4,1,1,1,1,5,0
690,690,1,18,0,10,500538,1,4,3,0,0,1,1,1,0,4,4,0,0,1,2,2,5,4,1,1,0,0,3,0
691,691,0,16,1,17,278621,0,3,5,0,1,0,1,0,0,1,2,0,0,1,2,3,2,2,1,2,1,0,7,0
692,692,1,19,0,22,191375,0,2,7,1,0,0,1,0,0,3,5,1,0,1,0,2,5,5,1,1,1,1,6,0
693,693,0,16,0,22,862145,1,4,2,0,1,0,1,1,0,5,1,0,0,0,1,3,2,4,1,4,0,1,2,0
694,694,0,20,0,13,927814,0,4,5,0,1,0,1,1,0,3,4,0,1,1,1,2,2,3,0,1,0,1,4,0
695,695,1,17,0,13,682806,1,3,4,0,0,1,0,0,1,4,2,0,1,1,0,2,2,1,0,3,1,1,8,1
696,696,1,19,0,20,870885,1,3,5,1,0,1,0,0,0,2,1,0,0,1,2,2,4,2,0,4,0,0,5,0
697,697,0,20,0,15,598152,0,2,4,0,1,1,1,0,1,5,2,1,1,1,2,3,2,3,0,2,1,1,9,1
698,698,1,21,1,24,937476,0,3,2,1,1,0,1,1,0,3,4,0,0,1,0,3,5,5,1,4,0,1,6,0
699,699,0,17,0,2,294110,0,2,3,0,1,0,1,1,0,4,5,1,0,0,2,2,5,1,1,3,1,1,5,0
700,700,1,21,0,31,494478,1,2,3,1,0,0,1,1,0,2,4,0,0,0,1,2,2,2,0,1,1,1,3,0
701,701,1,17,0,20,810731,1,3,5,0,0,1,1,0,0,2,0,0,1,0,2,2,4,1,1,4,1,0,6,0
702,702,1,15,0,6,289677,0,1,2,1,1,0,1,0,1,4,3,0,1,1,1,3,5,4,1,3,1,1,9,1
703,703,0,17,0,4,810706,1,4,4,0,0,0,1,1,0,0,1,0,0,1,0,2,3,1,0,1,1,0,4,0
704,704,0,21,0,14,156391,0,2,1,0,0,0,0,0,0,3,5,1,1,1,2,3,5,1,1,2,0,1,6,0
705,705,1,15,1,27,775329,0,3,4,1,1,1,1,0,1,1,4,1,0,1,1,2,2,2,0,3,0,0,9,1
706,706,0,18,0,28,355269,1,4,1,1,0,0,0,0,0,5,0,1,0,1,2,2,3,3,0,1,0,0,5,0
707,707,1,21,0,13,964637,1,3,2,1,0,0,1,1,1,5,0,1,1,1,2,2,5,5,1,2,0,1,8,1
708,708,0,18,0,26,498693,1,1,5,1,0,0,0,1,0,4,0,0,1,0,2,2,5,2,0,2,0,0,6,0
709,709,0,19,1,20,450796,0,2,3,1,1,0,0,0,1,3,0,1,0,1,1,3,2,4,1,3,0,0,10,1
710,710,0,16,0,17,584940,1,3,2,0,1,0,1,0,0,5,2,0,1,0,1,2,2,3,0,3,1,0,5,0
711,711,1,16,1,15,271937,0,2,6,0,0,0,1,1,0,3,4,1,1,1,1,3,2,5,0,2,0,1,6,0
712,712,0,17,1,15,841664,0,1,3,1,0,0,0,0,1,0,5,1,0,1,0,2,2,5,1,2,0,1,9,1
713,713,0,21,0,1,438749,0,2,2,0,0,1,1,1,0,5,2,1,1,0,1,2,1,1,0,4,0,1,4,0
714,714,0,14,0,23,168790,1,4,6,1,1,0,1,1,0,4,4,0,1,1,1,3,4,1,1,4,1,1,5,0
715,715,0,14,1,32,631541,1,3,3,1,1,1,0,0,0,3,2,0,0,1,2,2,3,5,1,1,0,0,6,0
716,716,0,20,0,31,431597,0,2,7,0,0,0,1,0,0,0,1,0,1,0,0,3,1,5,1,2,0,1,5,0
717,717,0,19,0,13,438012,0,4,1,0,0,1,1,1,0,4,0,0,0,0,0,2,1,4,1,4,1,1,6,0
718,718,0,15,1,25,596439,1,4,1,1,1,0,0,0,0,5,5,0,0,0,1,2,3,1,0,4,0,0,4,0
719,719,1,14,0,33,735881,0,3,7,0,0,0,0,1,0,2,4,1,0,1,2,2,4,2,0,4,0,1,3,0
720,720,1,20,0,9,204059,0,1,3,1,1,0,1,1,1,3,0,1,1,1,0,3,5,5,1,4,1,0,10,1
721,721,1,16,0,24,723428,0,4,4,0,0,1,1,0,0,0,2,1,0,1,1,3,1,3,0,3,0,0,5,0
722,722,0,14,0,29,655020,0,2,1,1,0,1,1,1,0,4,4,0,0,1,2,2,1,3,1,3,0,0,6,0
723,723,1,21,0,6,118098,1,2,2,0,0,1,0,1,0,1,3,0,1,1,0,3,5,2,0,2,0,0,6,0
724,724,0,14,0,17,746233,1,3,6,1,1,1,1,0,1,2,5,0,0,1,0,3,4,1,0,4,1,1,8,1
725,725,0,21,0,29,387595,1,3,6,0,0,0,1,0,0,2,1,0,0,0,0,2,2,2,0,3,1,0,4,0
726,726,0,15,0,14,146341,0,2,3,0,1,1,1,1,0,3,2,0,0,1,2,2,4,5,0,1,1,1,5,0
727,727,1,14,0,15,661603,1,2,7,0,0,0,0,0,0,5,3,1,0,1,1,2,4,1,1,4,1,0,4,0
728,728,1,14,0,19,121982,0,3,1,1,1,1,1,0,1,1,1,1,1,0,1,2,5,5,0,2,1,1,10,1
729,729,0,21,1,32,432127,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,2,2,4,1,3,0,0,7,0
730,730,1,19,0,33,487302,0,2,6,1,0,0,1,0,1,4,0,1,1,1,2,2,2,3,0,4,1,1,8,1
731,731,1,14,0,30,648639,0,1,2,0,1,1,1,0,0,3,3,0,0,0,1,2,5,1,1,4,1,1,4,0
732,732,1,16,0,21,564462,1,1,4,1,1,1,0,1,1,5,1,1,1,1,1,3,5,5,0,2,0,0,9,1
733,733,1,14,0,24,615370,0,1,3,1,0,0,1,1,0,2,1,0,0,1,2,2,2,4,1,3,1,0,6,0
734,734,1,19,1,31,934905,0,2,3,0,1,0,0,0,0,3,0,1,0,1,1,3,2,1,1,2,0,0,7,0
735,735,1,18,0,23,369781,1,3,3,0,0,1,1,1,0,5,4,0,1,0,1,2,1,2,1,1,1,1,4,0
736,736,0,19,0,2,187755,1,3,6,1,0,0,1,1,0,5,4,0,0,1,1,3,3,1,0,3,1,0,5,0
737,737,0,20,0,30,922712,0,2,7,0,1,1,1,1,1,4,1,0,1,1,2,2,3,1,0,3,1,1,8,1
738,738,0,17,0,1,226698,0,1,6,0,1,1,1,1,1,3,0,1,1,0,1,2,4,5,1,2,0,1,8,1
739,739,0,17,0,18,733863,0,4,3,1,0,0,0,1,0,4,3,0,0,0,0,3,1,1,1,3,1,0,4,0
740,740,0,18,0,3,154650,1,4,3,0,1,1,0,0,1,5,2,1,1,1,0,3,3,3,0,3,1,0,9,1
741,741,1,17,0,29,734800,0,4,5,0,0,0,0,0,0,4,5,0,0,0,1,3,4,2,0,1,1,0,2,0
742,742,0,15,0,27,949171,1,3,2,0,0,0,1,1,0,5,1,0,1,1,0,2,5,2,0,4,1,0,5,0
743,743,0,14,1,31,763111,0,2,3,0,0,1,1,0,0,4,2,1,0,1,1,3,4,1,1,2,1,1,7,0
744,744,0,14,0,23,939888,1,4,3,1,1,0,0,0,0,4,4,0,0,1,1,2,4,5,0,1,1,0,4,0
745,745,1,20,0,28,561548,0,3,1,0,0,0,1,0,0,3,1,0,1,1,1,3,2,4,0,1,1,0,6,0
746,746,0,21,1,25,162775,1,4,4,1,1,1,0,1,0,2,2,0,1,1,0,3,3,2,0,4,0,0,7,0
747,747,1,16,0,5,998048,0,2,6,1,1,0,1,0,1,4,2,0,1,1,0,2,2,4,1,2,0,0,9,1
748,748,0,15,1,28,558284,1,1,3,1,1,1,1,0,1,0,4,1,1,0,1,3,5,2,0,1,1,1,10,1
749,749,1,20,0,7,141217,0,2,3,0,1,0,1,1,0,5,0,1,1,0,0,2,3,5,0,1,0,0,6,0
750,750,0,16,0,27,500615,0,3,6,0,0,0,0,1,0,1,3,0,0,0,1,2,5,4,0,2,1,1,4,0
751,751,1,20,0,14,337575,1,4,5,1,1,0,0,0,0,1,3,0,0,0,1,3,5,1,1,1,0,1,3,0
752,752,0,15,0,19,662681,1,4,6,0,1,0,0,0,0,1,1,0,1,0,0,3,5,4,1,3,0,1,5,0
753,753,1,18,0,18,774164,1,1,1,1,0,1,0,0,0,2,5,0,0,1,0,2,3,1,1,4,0,0,6,0
754,754,0,20,1,18,896212,1,1,6,1,1,1,0,1,0,3,5,1,0,0,1,3,4,1,1,1,1,1,7,0
755,755,1,18,0,17,368298,0,3,2,1,0,1,0,1,0,5,3,0,0,1,1,3,4,2,0,3,0,0,5,0
756,756,1,18,0,21,813427,0,2,2,1,0,1,0,0,0,3,3,0,0,1,0,3,3,5,0,4,0,0,5,0
757,757,0,20,0,16,303406,1,3,2,0,0,0,1,0,0,5,5,0,1,0,0,3,5,1,1,1,1,0,4,0
758,758,0,15,0,18,839681,0,1,5,1,0,1,0,1,0,3,5,1,0,0,1,2,3,5,1,1,0,1,5,0
759,759,0,19,0,1,682477,1,3,5,1,0,0,1,1,0,4,2,1,0,0,0,2,2,3,0,3,0,0,6,0
760,760,1,15,0,24,534406,0,2,4,1,1,1,1,1,1,5,2,1,0,1,1,2,4,4,1,4,1,0,9,1
761,761,1,16,0,20,613334,1,1,2,1,1,1,1,0,0,4,0,0,0,0,2,3,1,5,1,1,1,1,6,0
762,762,1,17,0,4,166679,1,3,7,1,0,0,1,1,0,4,0,0,1,0,0,2,3,2,1,3,0,0,6,0
763,763,1,17,0,6,157064,0,1,2,0,0,0,0,1,0,3,3,1,0,0,0,3,2,3,1,3,1,1,5,0
764,764,1,17,0,2,556271,1,1,3,1,0,0,0,0,0,0,3,0,0,0,1,2,4,5,1,4,0,1,3,0
765,765,0,21,1,32,115997,1,4,1,1,1,0,0,1,1,4,2,1,1,1,1,2,2,3,1,3,0,1,9,1
766,766,0,19,0,31,517320,0,3,4,1,1,1,0,0,1,5,2,0,1,0,0,2,3,3,1,3,0,0,8,1
767,767,0,16,0,7,667161,1,4,7,1,1,1,1,1,1,3,0,1,1,1,1,3,5,1,0,1,1,0,9,1
768,768,0,18,1,30,238647,0,1,3,0,0,1,1,0,0,0,5,0,0,1,2,2,1,5,0,3,0,0,6,0
769,769,0,14,1,31,542493,1,1,3,1,0,0,0,1,0,5,5,1,0,1,2,2,2,1,1,4,0,0,5,0
770,770,0,21,0,31,985027,1,3,1,0,0,1,0,1,0,3,5,0,1,0,1,2,5,1,1,3,0,1,5,0
771,771,1,21,0,6,791433,1,2,6,1,1,1,1,0,1,4,5,0,1,0,0,3,4,5,1,2,0,1,8,1
772,772,0,18,1,15,893136,0,1,7,0,0,1,1,0,0,3,2,0,0,0,1,2,5,4,1,1,0,0,4,0
773,773,0,18,1,4,677270,0,2,4,1,0,1,1,1,1,3,0,0,0,1,0,2,1,3,0,4,1,1,9,1
774,774,1,21,0,2,219256,1,4,1,1,0,0,1,1,0,3,5,1,1,1,2,3,2,1,1,2,0,0,6,0
775,775,1,14,1,3,623448,1,1,3,1,1,1,0,1,1,0,5,1,1,0,1,2,3,1,1,3,1,0,11,1
776,776,0,14,0,8,153391,1,3,7,1,1,0,0,1,1,0,5,1,1,1,0,2,2,1,1,1,0,0,9,1
777,777,0,17,0,4,799067,1,1,7,1,0,1,1,0,0,1,5,1,1,0,2,3,1,2,1,4,1,1,6,0
778,778,1,20,0,18,128814,1,3,1,0,1,1,0,1,0,4,1,1,0,0,2,2,5,5,0,1,1,1,6,0
779,779,0,20,0,25,164859,1,3,2,0,1,1,0,1,1,5,4,1,1,1,2,3,3,3,1,4,1,1,8,1
780,780,0,21,0,11,213070,1,3,6,1,1,1,1,0,1,4,1,1,1,1,0,2,1,3,1,2,1,1,11,1
781,781,1,19,0,19,523597,0,2,6,1,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,2,0,1,9,1
782,782,0,18,1,23,354196,1,3,6,1,0,1,1,1,0,3,4,0,0,0,1,3,5,2,1,4,1,0,5,0
783,783,1,21,0,4,721703,1,1,3,0,1,0,0,0,1,0,0,1,0,1,1,2,3,1,1,2,1,1,9,1
784,784,1,17,1,24,676886,0,4,2,1,1,0,1,0,0,1,4,1,0,1,0,2,5,1,0,4,0,1,6,0
785,785,0,19,0,22,368965,1,1,1,0,0,1,0,0,1,2,3,1,0,1,0,2,4,4,1,3,0,0,9,1
786,786,1,18,0,33,949080,1,2,3,0,1,1,0,0,0,5,5,1,0,0,2,3,2,1,0,4,0,1,4,0
787,787,1,16,0,28,142591,1,1,5,1,1,0,0,1,0,4,1,0,0,0,2,2,3,5,0,3,1,0,6,0
788,788,0,14,1,21,500065,0,2,5,0,1,1,0,1,1,2,4,1,1,1,2,3,3,3,1,2,0,0,10,1
789,789,1,21,0,5,796247,0,4,6,1,1,1,0,0,1,2,1,1,1,1,0,2,4,1,0,1,0,1,8,1
790,790,0,16,0,30,788369,1,4,6,1,0,1,1,0,1,0,0,0,1,1,1,2,5,1,1,3,0,1,8,1
791,791,0,19,0,11,182887,0,1,4,0,1,0,0,1,0,1,0,1,0,0,1,2,1,3,1,3,0,1,5,0
792,792,0,18,0,18,138193,0,1,2,0,1,0,1,0,0,1,2,0,1,0,1,2,4,4,0,3,1,1,6,0
793,793,1,17,0,30,159049,1,3,4,1,0,1,1,1,0,3,0,0,0,1,0,2,1,5,1,1,0,1,6,0
794,794,0,19,0,31,436296,1,4,1,0,1,1,1,1,0,4,4,0,1,1,1,3,3,4,1,4,0,0,6,0
795,795,0,17,0,8,418732,1,1,2,0,0,0,1,0,0,4,3,0,0,1,0,3,1,1,0,1,1,0,4,0
796,796,0,14,1,14,815028,1,3,1,0,0,1,1,1,1,5,4,1,1,0,1,2,2,2,1,2,1,0,9,1
797,797,1,15,0,23,927330,0,4,4,0,0,1,1,0,0,0,0,1,0,1,1,3,3,1,1,2,0,0,6,0
798,798,1,16,0,25,785417,0,3,4,0,0,0,1,1,0,0,2,1,1,0,2,2,2,5,0,4,1,0,5,0
799,799,0,18,0,28,635641,0,2,3,0,0,0,1,0,0,2,2,1,0,1,0,2,1,1,0,4,1,0,5,0
800,800,1,16,0,24,962564,0,4,2,0,0,1,1,1,0,1,5,1,0,0,1,3,1,1,0,3,1,1,4,0
801,801,1,15,0,33,843262,0,1,4,0,1,1,1,1,1,0,5,1,1,1,2,3,1,4,0,3,1,0,11,1
802,802,0,15,0,7,271170,1,3,2,0,1,1,1,1,0,4,4,1,1,0,1,2,1,5,0,3,0,1,6,0
803,803,1,15,0,25,922814,1,1,3,0,1,0,0,1,1,1,4,1,1,1,1,2,2,5,1,3,1,1,8,1
804,804,1,17,0,1,173212,0,3,4,0,0,1,1,0,0,3,2,0,0,1,0,3,3,1,1,2,1,0,6,0
805,805,0,14,0,23,320590,1,2,6,1,1,1,0,1,0,5,5,0,1,0,1,3,3,2,1,4,1,0,6,0
806,806,1,20,1,8,988439,1,2,1,1,0,1,1,1,1,3,5,1,1,1,2,2,2,2,0,2,0,1,10,1
807,807,1,18,1,21,260736,0,2,2,1,0,1,1,1,1,5,3,1,1,0,1,3,3,4,0,2,0,0,9,1
808,808,1,16,1,33,206234,0,4,6,1,0,0,0,0,0,3,1,1,0,0,1,3,5,4,0,1,0,1,4,0
809,809,0,16,0,26,302563,1,4,6,1,1,1,0,0,0,5,2,1,0,0,0,2,1,4,0,4,0,1,6,0
810,810,1,21,1,2,252682,0,4,5,0,0,1,0,0,0,5,3,0,1,0,2,3,2,1,0,3,0,1,5,0
811,811,1,20,0,26,418279,0,2,3,0,1,1,1,0,1,0,1,1,0,1,0,2,5,3,1,2,1,1,10,1
812,812,1,16,0,2,265019,1,1,4,0,0,0,0,1,0,2,3,1,0,1,2,3,1,4,1,1,1,1,5,0
813,813,0,19,0,24,391629,0,2,6,0,1,0,0,0,1,1,0,1,1,1,0,2,1,1,1,1,1,1,9,1
814,814,1,20,0,29,614322,1,4,2,0,1,1,0,0,0,4,5,0,0,1,0,2,4,5,1,4,0,0,4,0
815,815,0,18,0,14,254168,1,1,7,1,1,1,1,0,1,5,1,1,0,1,1,3,3,1,0,3,0,0,8,1
816,816,0,20,0,15,352984,0,4,1,0,1,1,0,0,1,3,0,0,0,1,2,2,2,4,1,3,1,1,9,1
817,817,1,18,0,1,245477,1,1,7,0,0,0,1,1,0,0,1,1,0,0,2,3,3,3,1,1,1,0,4,0
818,818,1,16,0,9,273482,1,3,5,1,0,1,0,0,1,5,5,0,1,1,0,2,3,4,0,3,0,0,10,1
819,819,0,18,0,2,490769,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,3,2,1,0,4,0,0,8,1
820,820,1,16,0,16,468078,0,3,2,0,1,1,1,1,0,4,2,0,1,0,2,3,3,1,1,1,0,0,4,0
821,821,0,18,0,3,665476,1,4,1,0,0,0,0,1,0,1,0,1,0,0,0,3,5,3,1,3,1,0,6,0
822,822,0,18,0,32,141625,0,1,7,0,1,0,0,0,0,1,2,0,1,0,1,3,1,2,1,4,1,1,4,0
823,823,0,14,0,11,917900,0,2,6,0,0,1,0,1,0,5,1,0,1,1,1,3,3,3,1,2,1,0,6,0
824,824,0,19,0,1,931507,1,4,7,0,0,1,1,0,0,3,2,1,1,0,0,2,3,3,0,4,1,0,5,0
825,825,0,17,0,1,707160,1,2,3,1,0,0,1,0,0,3,2,0,0,1,2,3,4,4,0,4,0,0,4,0
826,826,0,18,0,21,790565,0,1,1,0,1,0,0,0,1,5,3,0,1,1,0,3,5,5,1,2,1,1,9,1
827,827,1,17,0,9,346363,0,4,7,1,0,1,0,0,0,3,2,0,0,0,2,2,3,1,1,1,0,1,2,0
828,828,1,16,0,8,931872,1,4,6,0,0,0,0,1,0,5,1,1,1,1,2,3,2,4,0,4,0,1,4,0
829,829,1,21,1,30,629420,0,4,7,1,0,1,1,0,0,5,4,0,1,1,0,3,5,3,0,4,1,1,7,0
830,830,1,18,0,18,439924,0,1,4,0,1,0,1,0,0,2,2,0,0,0,2,3,5,2,1,2,0,0,3,0
831,831,1,19,0,19,465075,1,4,3,0,0,0,1,0,0,5,5,1,1,1,2,3,5,4,0,4,0,0,4,0
832,832,1,18,0,9,179265,1,3,7,0,0,0,0,1,0,2,3,0,0,1,0,2,3,5,0,3,1,0,5,0
833,833,0,20,0,28,458254,1,1,3,1,1,1,1,0,1,1,0,1,1,1,1,3,5,1,1,4,1,0,10,1
834,834,0,19,0,30,850257,1,4,4,1,1,1,1,1,1,0,4,0,1,0,0,2,1,4,1,2,1,1,10,1
835,835,0,19,0,14,951016,1,2,3,0,1,1,1,0,0,1,1,0,0,0,0,2,3,3,1,2,1,0,6,0
836,836,0,20,1,23,405038,0,1,3,1,0,1,1,0,1,3,1,1,0,1,2,2,3,4,0,3,1,0,10,1
837,837,1,18,1,28,594572,1,2,6,1,1,1,1,1,1,1,0,0,0,0,1,2,3,4,0,4,1,1,9,1
838,838,0,14,0,33,177411,1,2,3,0,1,0,0,0,0,1,5,0,0,0,2,2,2,1,0,4,0,0,2,0
839,839,1,14,0,5,959827,1,4,7,1,0,1,0,0,0,1,4,1,0,1,2,3,2,3,1,3,0,0,5,0
840,840,0,15,0,17,645208,0,2,3,0,1,0,1,0,0,3,1,1,1,1,0,3,1,5,0,1,0,1,6,0
841,841,1,14,0,7,243644,0,3,5,1,0,1,1,1,1,3,0,0,1,1,1,2,3,1,0,1,0,1,8,1
842,842,0,17,0,29,948755,0,2,3,0,0,1,1,0,0,4,2,0,0,0,1,3,5,5,0,2,0,0,3,0
843,843,0,20,0,23,820227,1,2,4,0,0,1,1,1,0,1,2,0,0,1,2,3,3,2,0,1,0,0,3,0
844,844,0,17,1,17,586590,0,2,3,1,0,0,1,1,0,1,1,0,1,0,2,2,2,5,0,2,0,1,5,0
845,845,0,15,0,9,375199,1,1,1,1,0,0,0,0,0,4,1,0,0,1,1,3,2,5,0,2,1,0,6,0
846,846,0,15,0,4,676913,1,4,2,0,1,1,0,1,0,3,0,0,1,0,0,2,5,2,1,4,1,1,6,0
847,847,0,20,0,33,256282,1,1,4,1,0,1,1,1,0,3,0,0,1,1,1,2,1,1,0,1,0,0,6,0
848,848,1,19,0,17,401485,0,3,5,1,0,1,1,0,1,5,0,1,0,0,1,2,3,1,0,3,0,0,8,1
